,0,1,2
0,2700,0,617
1,2700,10,617
2,2700,20,617
3,2700,30,617
4,2700,40,617
5,2700,50,617
6,2700,60,617
7,2700,70,1069
8,2700,80,1069
9,2700,90,1069
10,2700,100,1069
11,3100,0,1069
12,3100,10,1069
13,3100,20,1069
14,3100,30,1069
15,3100,40,745
16,3100,50,745
17,3100,60,745
18,3100,70,745
19,3100,80,745
20,3100,90,745
21,3100,100,745
22,3500,0,745
23,3500,10,334
24,3500,20,334
25,3500,30,334
26,3500,40,334
27,3500,50,334
28,3500,60,334
29,3500,70,334
30,3500,80,334
31,3500,90,334
32,3500,100,334
33,3900,0,334
34,3900,10,334
35,3900,20,334
36,3900,30,334
37,3900,40,334
38,3900,50,334
39,3900,60,923
40,3900,70,923
41,3900,80,923
42,3900,90,923
43,3900,100,923
44,4300,0,923
45,4300,10,923
46,4300,20,923
47,4300,30,703
48,4300,40,703
49,4300,50,703
50,4300,60,703
51,4300,70,703
52,4300,80,703
53,4300,90,703
54,4300,100,703
55,4700,0,474
56,4700,10,474
57,4700,20,474
58,4700,30,474
59,4700,40,474
60,4700,50,474
61,4700,60,474
62,4700,70,474
63,4700,80,1860
64,4700,90,1860
65,4700,100,1860
66,5100,0,1860
67,5100,10,1860
68,5100,20,1860
69,5100,30,1860
70,5100,40,1860
71,5100,50,968
72,5100,60,968
73,5100,70,968
74,5100,80,968
75,5100,90,968
76,5100,100,968
77,5500,0,968
78,5500,10,968
79,5500,20,761
80,5500,30,761
81,5500,40,761
82,5500,50,761
83,5500,60,761
84,5500,70,761
85,5500,80,761
86,5500,90,761
87,5500,100,2658
88,5900,0,2658
89,5900,10,2658
90,5900,20,2658
91,5900,30,2658
92,5900,40,2658
93,5900,50,2658
94,5900,60,2658
95,5900,70,1703
96,5900,80,1703
97,5900,90,1703
98,5900,100,1703
99,6300,0,1703
100,6300,10,1703
101,6300,20,1703
102,6300,30,1703
103,6300,40,1013
104,6300,50,1013
105,6300,60,1013
106,6300,70,1013
107,6300,80,1013
108,6300,90,1013
109,6300,100,1013
